country,year,indicator,hh,hh_lo,hh_hi,plot,plot_lo,plot_hi,area,area_lo,area_hi,n_plot,n_hh
Nigeria,2016,parcel_certificate,0.07479103594100343,0.05430946338626155,0.09527260849574531,0.06142209294784412,0.042512295822992346,0.0803318900726959,0.06127523477439603,0.04242535941984699,0.08012511012894508,5820,2869
Nigeria,2019,parcel_rentedin,0.18705914302340795,0.16001904220820357,0.21409924383861234,0.11223831319165492,0.09224140038328094,0.1322352260000289,0.1267871820523726,0.09057223575423186,0.16300212835051336,10961,3872
Nigeria,2019,parcel_rentedout,0.018611840539574792,0.011717051702208884,0.0255066293769407,0.008412204185777683,0.005118172961922885,0.01170623540963248,0.01459856901255956,0.0064105069672874895,0.02278663105783163,10961,3872
Nigeria,2019,parcel_purchased,0.24262123736838723,0.2122521160122563,0.27299035872451816,0.130913855338295,0.10918970378393782,0.15263800689265217,0.12598844286566616,0.10264707557452764,0.1493298101568047,10961,3872
Nigeria,2019,parcel_certificate,0.1739913189019768,0.15161299695356661,0.196369640850387,0.09519033511348074,0.0788867301509876,0.11149394007597388,0.10765749716811997,0.0797911422991971,0.13552385203704284,10961,3872
Nigeria,2023,parcel_rentedin,0.14504550368280644,0.12348151224781855,0.16660949511779433,0.09280105051104137,0.07405874497724069,0.11154335604484206,0.09317372070677361,0.07094270633135477,0.11540473508219246,9183,3974
Nigeria,2023,parcel_rentedout,0.012753722866930467,0.007282029696543822,0.018225416037317112,0.007554294552442142,0.0036643924596126464,0.011444196645271638,0.01046755702964522,0.0029836419547985254,0.01795147210449191,9183,3974
Nigeria,2023,parcel_purchased,0.11453233560685465,0.09868346450238917,0.1303812067113201,0.07180529005806612,0.05894537157705618,0.08466520853907605,0.08878990454187381,0.06783549986053251,0.10974430922321511,9183,3974
Nigeria,2023,parcel_certificate,0.12987671121748384,0.1120871089395554,0.1476663134954123,0.08563373368772505,0.07190182242743068,0.09936564494801942,0.10757677717506554,0.08505240398208488,0.1301011503680462,9183,3974
Tanzania,2009,parcel_rentedin,0.11208853194524898,0.09401163596038847,0.1301654279301095,0.06184995743850745,0.05083499906796943,0.07286491580904547,0.038552861418336005,0.02881586167608064,0.04828986116059137,5126,2283
Tanzania,2009,parcel_rentedout,0.013315377938087982,0.007846429833236128,0.018784326042939836,0.006668550311763148,0.003805424043633797,0.009531676579892498,0.006948079733488783,0.0029883771969357086,0.010907782270041858,5126,2283
Tanzania,2009,parcel_purchased,,,,,,,,,,0,0
Tanzania,2009,parcel_certificate,0.10807498220442283,0.09146501347096275,0.1246849509378829,0.07046844312991499,0.05776248117397279,0.08317440508585719,0.06979428621759871,0.05122506690327655,0.08836350553192088,5126,2283
Tanzania,2011,parcel_rentedin,0.07537456130179393,0.062415373312836184,0.08833374929075168,0.04185518205053875,0.0340109404095712,0.0496994236915063,0.02564408726357947,0.019475762147819483,0.03181241237933946,6038,2630
Tanzania,2011,parcel_rentedout,0.011971264563409509,0.007117787412007908,0.01682474171481111,0.005812584960176082,0.0033498932305012262,0.008275276689850938,0.01230179210494308,-0.0026924502041310375,0.027296034414017196,6038,2630
Tanzania,2011,parcel_purchased,,,,,,,,,,0,0
Tanzania,2011,parcel_certificate,0.14419627746203548,0.1277709845699282,0.16062157035414276,0.10972979940278371,0.09498770684342132,0.1244718919621461,0.12351537108594957,0.09750483440690626,0.14952590776499286,6038,2630
Tanzania,2013,parcel_rentedin,0.06092399657832108,0.051911151039375,0.06993684211726717,0.03826216871069408,0.03231534870056167,0.044208988720826486,0.026121315184646252,0.021020754172004365,0.03122187619728814,9157,5010
Tanzania,2013,parcel_rentedout,0.012092726184726399,0.008076173262835658,0.01610927910661714,0.006811159224470086,0.004583987868657849,0.009038330580282323,0.019152253905860315,0.0059869814745995165,0.032317526337121115,9157,5010
